구분,가게이름,카테코리(대),카테고리(중),주소,link,caption,lat,lon,benefit
43,열두달미장원,미용,미용실,서울특별시 광진구 화양동 216,https://www.instagram.com/alliance.student.konkuk/p/DI-ZzLcvfqM/,[건국대학교 총학생회 그린 X 열두달미장원],37.5472923,127.0732766,"1명 방문 시 10% 할인, 2명 방문 시 20% 할인, 3명 이상 방문 시 30% 할인 (부분시술 제외, 컷트 제외),
같이 오는 일행이 건국대학생이 아니어도 됨.
학생신분이기만 하면 가능
(예약방법: 최소 1일전, 열두달 미장원 카카오톡 플러스 친구로 예약,
일행 당일 시술을 원칙으로 한다.)"
44,쏠뷰티스튜디오 건대점,미용,"속눈썹증모,연장",서울특별시 광진구 군자동 359-15 202호,https://www.instagram.com/alliance.student.konkuk/p/DHsG4jnvehP/,[건국대학교 총학생회 그린 X 쏠뷰티스튜디오 건대점],37.54965202,127.0699965,"속눈썹펌 10% 할인, 반영구눈썹 20000원 할인, 미인점 5000원 할인"
45,골든네일 건대점,미용,"네일아트,네일샵",서울특별시 광진구 화양동 7-6 3층,https://www.instagram.com/alliance.student.konkuk/p/DGx2glPvI28/,[건국대학교 총학생회 그린 X 골든네일 건대점],37.54121468,127.0685098,"6만원 미만은 5천원 할인, 이상은 1만원 할인(첫 방문 할인과는 중복 불가)"
46,디탐헤어 건대점,미용,미용실,서울특별시 광진구 자양동 2-1 3층,https://www.instagram.com/alliance.student.konkuk/p/DGx2XVtvH-y/,[건국대학교 총학생회 그린 X 디탐헤어 건대점],37.53930816,127.0700433,네이버 예약 후 방문 시 시술 6만원 이상 10% 할인
47,루루앤아이래쉬 건대점,미용,"속눈썹증모,연장",서울특별시 광진구 화양동 44-26,https://www.instagram.com/alliance.student.konkuk/p/DGx2SylvbY7/,[건국대학교 총학생회 그린 X 루루앤아이래쉬 건대점],37.54238501,127.0656033,네이버 예약 후 방문 시 시술비 10% 할인
48,미스테이 건대점,미용,"속눈썹증모,연장",서울특별시 광진구 자양동 226-21 B1층,https://www.instagram.com/alliance.student.konkuk/p/DGx2MFovgFp/,[건국대학교 총학생회 그린 X 미스테이 건대점],37.53892122,127.0756822,총액에서 5천원 할인
49,분칠하는 고양이,미용,메이크업,서울특별시 광진구 화양동 49-13 5층 502호,https://www.instagram.com/alliance.student.konkuk/p/DGx16YpP349/,[건국대학교 총학생회 그린 X 분칠하는 고양이],37.54187791,127.0664526,"퍼스널 컬러 베이직에서 프리미엄으로 업그레이드, 메이크업 진행 시 속눈썹 무료 추가"
50,설렘 미용실,미용,미용실,서울특별시 광진구 화양동 5-30 설렘,https://www.instagram.com/alliance.student.konkuk/p/DGx12W9PmSx/,[건국대학교 총학생회 그린 X 설렘 미용실],37.54189095,127.0708284,"1. 남자 커트 + 다운펌 네이버 예약 결제 리뷰 작성 시 3만원 할인
2, 여자 파마, 염색, 클리닉 30% 할인"
51,CHOP헤어 건대로데오점,미용,미용실,서울특별시 광진구 자양동 5-13 로데오프라자 1층 CHOP헤어,https://www.instagram.com/alliance.student.konkuk/p/DGx1i__Phjc/,[건국대학교 총학생회 그린 X chop헤어 건대로데오점],37.53964609,127.0690294,"총액의 10% 할인, 네이버 예약 시 15% 할인, 포토리뷰 시 20%까지 할인(커트 및 부분 시술 제외)"
52,심쿵피어싱,미용,패션잡화,서울 광진구 능동로 141 1층 심쿵피어싱,https://www.instagram.com/p/DGx1y2Cvoju/?img_index=1,[건국대학교 총학생회 그린 X 심쿵피어싱],37.54341717,127.0719932,"시술비 1000원 할인, 피어싱 5개 이상 구매 시 한 개 더 증정(8000원 이하)"
53,바이진헤어 건대1호점,미용,미용실,"서울 광진구 동일로22길 117-5 1,2층",https://www.instagram.com/p/DGx1_8cvkus/?img_index=1,[건국대학교 총학생회 그린 X 바이진 1호점],37.54091517,127.0705245,"커트 포함 모든 시술 5% 할인 (네이버 리뷰 필수) (25학번 신입생 첫 방문 시 시술 30%, 커트 5% 할인)"
54,쭈꾸미도사 건대점,음식점,주꾸미요리,서울특별시 광진구 화양동 7-38 1층 쭈꾸미도사,https://www.instagram.com/alliance.student.konkuk/p/DMaWpzavvRv/,[건국대학교 총학생회 그린 X 쭈꾸미도사 건대점],37.54097081,127.0692289,"총액의 5% 할인, 50,000원 이상 결제 시 10% 할인"
55,스시붐,음식점,"초밥,롤",서울특별시 광진구 군자동 371-4,https://www.instagram.com/alliance.student.konkuk/p/DNa0Iphv8g5/,[건국대학교 총학생회 그린 X 스시붐],37.54841111,127.072765,총액의 10% 할인
